Tiempo(s),Fuerza(N)
56.8,111.9228495
56.9,114.9419078
57,89.3203467
57.1,18.93855194
57.2,4.93497386
57.3,3.007628657
57.4,2.791981642
57.5,2.36068761
57.6,2.36068761
57.7,2.791981642
57.8,31.63476999
57.9,106.9764461
58,106.3295051
58.1,103.5260939
58.2,114.2949667
58.3,123.1095385
58.4,128.7163609
58.5,126.3442437
58.6,71.44860027
58.7,17.64466985
58.8,3.654569705
58.9,2.576334626
59,2.576334626
59.1,2.36068761
59.2,2.36068761
59.3,2.145040595
59.4,2.36068761
59.5,2.36068761
59.6,2.36068761
59.7,2.36068761
59.8,2.36068761
59.9,2.36068761
60,2.36068761
