Tiempo(s)	Caudal(L/s)	Volumen(L)
7.4	0.541534867	0.78108586
7.42	0.531418289	0.770356329
7.44	0.521896805	0.759823178
7.46	0.521896805	0.749385242
7.48	0.492737258	0.739238901
7.5	0.483215773	0.729479371
7.52	0.483215773	0.719815055
7.54	0.483215773	0.71015074
7.56	0.502258743	0.700295995
7.58	0.521896805	0.690054439
7.6	0.541534867	0.679420123
7.62	0.541534867	0.668589425
7.64	0.521896805	0.657955109
7.66	0.531418289	0.647421958
7.68	0.531418289	0.636793592
7.7	0.521896805	0.626260441
7.72	0.521896805	0.615822505
7.74	0.51237532	0.605479784
7.76	0.492737258	0.595428658
7.78	0.473099196	0.585770293
7.8	0.473099196	0.576308309
7.82	0.473099196	0.566846325
7.84	0.473099196	0.557384341
7.86	0.473099196	0.547922358
7.88	0.473099196	0.538460374
7.9	0.454056227	0.529188819
7.92	0.42489668	0.52039929
7.94	0.414780103	0.512002522
7.96	0.42489668	0.503605755
7.98	0.414780103	0.495208987
8	0.395737134	0.487103814
8.02	0.395737134	0.479189072
8.04	0.376099072	0.47147071
8.06	0.35646101	0.464145109
8.08	0.327301463	0.457307484
8.1	0.26898237	0.451344646
8.12	0.220184761	0.446452975
8.14	0.171982245	0.442531304
8.16	0.123184637	0.439579636
8.18	0.055344059	0.437794349
8.2	-0.022613096	0.437467039
8.22	-0.120208314	0.438895253
8.24	-0.197570376	0.44207304
8.26	-0.266006047	0.446708804
8.28	-0.32432514	0.452612116
8.3	-0.382644233	0.45968181
8.32	-0.440963326	0.467917886
8.34	-0.49928242	0.477320343
8.36	-0.537963451	0.487692802
8.38	-0.567122997	0.498743666
8.4	-0.586761059	0.510282507
8.42	-0.635558668	0.522505704
8.44	-0.654601637	0.535407307
8.46	-0.654601637	0.54849934
8.48	-0.645080153	0.561496158
8.5	-0.645080153	0.574397761
8.52	-0.645080153	0.587299364
8.54	-0.635558668	0.600105752
8.56	-0.615920606	0.612620545
8.58	-0.606399121	0.624843742
8.6	-0.606399121	0.636971724
8.62	-0.586761059	0.648903326
8.64	-0.596282544	0.660733762
8.66	-0.606399121	0.672760579
8.68	-0.596282544	0.684787396
8.7	-0.606399121	0.696814212
8.72	-0.596282544	0.708841029
8.74	-0.586761059	0.720671465
8.76	-0.586761059	0.732406686
8.78	-0.577239575	0.744046692
8.8	-0.586761059	0.755686699
8.82	-0.577239575	0.767326705
8.84	-0.567122997	0.778770331
8.86	-0.567122997	0.790112791
8.88	-0.567122997	0.801455251
8.9	-0.567122997	0.812797711
8.92	-0.577239575	0.824241336
8.94	-0.596282544	0.835976558
8.96	-0.596282544	0.847902209
8.98	-0.586761059	0.859732645
9	-0.567122997	0.871271485
9.02	-0.537963451	0.88232235
9.04	-0.508803904	0.892790023
9.06	-0.460006296	0.902478125
9.08	-0.392165718	0.910999845
9.1	-0.295165593	0.917873158
9.12	-0.178527407	0.922610088
9.14	-0.051772643	0.924913089
9.16	0.045227481	0.924978541
9.18	0.064865543	0.92387761
9.2	0.045227481	0.92277668
9.22	0.045227481	0.92187213
9.24	0.055344059	0.920866415
9.26	0.123184637	0.919081128
9.28	0.18150373	0.916034244
9.3	0.259460885	0.911624598
9.32	0.327301463	0.905756975
9.34	0.395737134	0.898526589
9.36	0.443939649	0.890129821
9.38	0.492737258	0.880763052
9.4	0.531418289	0.870521496
9.42	0.551056351	0.85969675
9.44	0.59985396	0.848187647
9.46	0.638534991	0.835803757
9.48	0.667694538	0.822741462
9.5	0.706375569	0.809000761
9.52	0.706375569	0.79487325
9.54	0.696854084	0.780840953
9.56	0.667694538	0.767195467
9.58	0.648056476	0.754037957
9.6	0.629013506	0.741267257
9.62	0.59985396	0.728978582
9.64	0.560577836	0.717374264
9.66	0.531418289	0.706454303
9.68	0.502258743	0.696117533
9.7	0.521896805	0.685875977
9.72	0.521896805	0.675438041
9.74	0.541534867	0.664803724
9.76	0.560577836	0.653782597
9.78	0.580215898	0.64237466
9.8	0.589737382	0.630675127
9.82	0.609375444	0.618683999
9.84	0.629013506	0.60630011
9.86	0.638534991	0.593624625
9.88	0.648056476	0.58075871
9.9	0.648056476	0.56779758
9.92	0.658173053	0.554735285
9.94	0.658173053	0.541571824
9.96	0.638534991	0.528604744
9.98	0.629013506	0.515929259
10	0.609375444	0.503545369
10.02	0.589737382	0.491554241
10.04	0.570694413	0.479949923
10.06	0.541534867	0.46882763
10.08	0.521896805	0.458193313
10.1	0.492737258	0.448046973
10.12	0.454056227	0.438579038
10.14	0.414780103	0.429890675
10.16	0.366577587	0.422077098
10.18	0.317779978	0.415233522
10.2	0.259460885	0.409461113
10.22	0.201141792	0.404855087
10.24	0.132706121	0.401516608
10.26	0.064865543	0.399540891
10.28	-0.002975034	0.398921986
10.3	-0.061294128	0.399564677
10.32	-0.091048767	0.401088106
10.34	-0.120208314	0.403200677
10.36	-0.207686953	0.40647963
10.38	-0.32432514	0.411799751
10.4	-0.460006296	0.419643065
10.42	-0.606399121	0.430307119
10.44	-0.790877886	0.444279889
10.46	-0.956313681	0.461751805
10.48	-1.102111414	0.482336056
10.5	-1.277068694	0.506127857
10.52	-1.413344942	0.533031993
10.54	-1.500823582	0.562173679
10.56	-1.520461644	0.592386531
10.58	-1.607940284	0.62367055
10.6	-1.685302346	0.656602976
10.62	-1.666259377	0.690118594
10.64	-1.695418923	0.723735377
10.66	-1.675780861	0.757447375
10.68	-1.646621315	0.790671396
10.7	-1.578780737	0.822925417
10.72	-1.500823582	0.85372146
10.74	-1.442504489	0.883154741
10.76	-1.39370688	0.911516854
10.78	-1.384185395	0.939295777
10.8	-1.374068818	0.966878319
10.82	-1.39370688	0.994556076
10.84	-1.344909271	1.021942238
10.86	-1.30622824	1.048453613
10.88	-1.247909147	1.073994987
10.9	-1.228271085	1.098756789
10.92	-1.102111414	1.122060614
10.94	-1.111632898	1.144198057
10.96	-1.063430383	1.16594869
10.98	-1.043792321	1.187020917
11	-1.014632774	1.207605168
11.02	-1.024154259	1.227993038
11.04	-0.975951743	1.247994098
11.06	-0.88787801	1.266632396
11.08	-0.858718464	1.284098361
11.1	-0.839675494	1.3010823
11.12	-0.820037432	1.317679429
11.14	-0.820037432	1.334080178
11.16	-0.829558917	1.350576142
11.18	-0.820037432	1.367072105
11.2	-0.790877886	1.383181258
11.22	-0.742080277	1.39851084
11.24	-0.71292073	1.41306085
11.26	-0.703399246	1.42722405
11.28	-0.693877761	1.44119682
11.3	-0.664718215	1.45478278
11.32	-0.645080153	1.467880763
11.34	-0.645080153	1.480782366
11.36	-0.674239699	1.493975565
11.38	-0.664718215	1.507365144
11.4	-0.615920606	1.520171532
11.42	-0.577239575	1.532103134
11.44	-0.557601513	1.543451545
11.46	-0.557601513	1.554603575
11.48	-0.567122997	1.56585082
11.5	-0.586761059	1.577389661
11.52	-0.606399121	1.589321263
11.54	-0.606399121	1.601449245
11.56	-0.615920606	1.613672442
11.58	-0.635558668	1.626187235
11.6	-0.615920606	1.638702028
11.62	-0.557601513	1.650437249
11.64	-0.489165842	1.660904922
11.66	-0.489165842	1.670688239
11.68	-0.489165842	1.680471556
11.7	-0.508803904	1.690451254
11.72	-0.528441966	1.700823712
11.74	-0.537963451	1.711487767
11.76	-0.537963451	1.722247036
11.78	-0.508803904	1.732714709
11.8	-0.489165842	1.742694407
11.82	-0.49928242	1.752578889
11.84	-0.508803904	1.762659752
11.86	-0.537963451	1.773127426
11.88	-0.577239575	1.784279456
11.9	-0.586761059	1.795919463
11.92	-0.577239575	1.807559469
11.94	-0.557601513	1.81890788
11.96	-0.567122997	1.830155125
11.98	-0.567122997	1.841497585
12	-0.577239575	1.852941211
12.02	-0.577239575	1.864486002
12.04	-0.577239575	1.876030794
12.06	-0.577239575	1.887575585
12.08	-0.596282544	1.899310806
12.1	-0.615920606	1.911432838
12.12	-0.615920606	1.92375125
12.14	-0.586761059	1.935778067
12.16	-0.548080028	1.947126477
12.18	-0.537963451	1.957986912
12.2	-0.537963451	1.968746181
12.22	-0.537963451	1.97950545
12.24	-0.537963451	1.990264719
12.26	-0.528441966	2.000928773
12.28	-0.508803904	2.011301232
12.3	-0.489165842	2.02128093
12.32	-0.460006296	2.030772651
12.34	-0.430846749	2.039681181
12.36	-0.382644233	2.047816091
12.38	-0.333846625	2.054981
12.4	-0.314208563	2.061461552
12.42	-0.343368109	2.068037318
12.44	-0.353484687	2.075005846
12.46	-0.353484687	2.08207554
12.48	-0.314208563	2.088752473
12.5	-0.314208563	2.095036644
12.52	-0.333846625	2.101517196
12.54	-0.363006171	2.108485724
12.56	-0.343368109	2.115549466
12.58	-0.343368109	2.122416829
12.6	-0.343368109	2.129284191
12.62	-0.372527656	2.136443148
12.64	-0.392165718	2.144090082
12.66	-0.440963326	2.152421373
12.68	-0.470122873	2.161532235
12.7	-0.489165842	2.171125122
12.72	-0.479644358	2.180813224
12.74	-0.489165842	2.190501326
12.76	-0.479644358	2.200189428
12.78	-0.450484811	2.209490719
12.8	-0.392165718	2.217917225
12.82	-0.382644233	2.225665324
12.84	-0.343368109	2.232925448
12.86	-0.295165593	2.239310785
12.88	-0.266006047	2.244922501
12.9	-0.285049016	2.250433052
12.92	-0.295165593	2.256235198
12.94	-0.285049016	2.262037344
12.96	-0.275527531	2.267643109
12.98	-0.295165593	2.273350041
13	-0.275527531	2.279056972
13.02	-0.2368465	2.284180712
13.04	-0.188048891	2.288429666
13.06	-0.158889345	2.291899048
13.08	-0.14936786	2.294981621
13.1	-0.188048891	2.298355788
13.12	-0.246367985	2.302699957
13.14	-0.255889469	2.307722531
13.16	-0.255889469	2.312840321
13.18	-0.217208438	2.3175713
13.2	-0.178527407	2.321528658
13.22	-0.158889345	2.324902826
13.24	-0.168410829	2.328175827
13.26	-0.197570376	2.33183564
13.28	-0.217208438	2.335983428
13.3	-0.188048891	2.340036001
13.32	-0.217208438	2.344088574
13.34	-0.255889469	2.348819553
13.36	-0.275527531	2.354133723
13.38	-0.32432514	2.36013225
13.4	-0.343368109	2.366809183
13.42	-0.295165593	2.37319452
13.44	-0.226729923	2.378413475
13.46	-0.139251283	2.382073287
13.48	-0.032134581	2.383787145
13.5	0.016067935	2.383947812
13.52	0.00654645	2.383721668
13.54	-0.013091612	2.38378712
13.56	-0.032134581	2.384239382
13.58	0.00654645	2.384495263
13.6	0.035705997	2.384072738
13.62	0.084503605	2.382870642
13.64	0.123184637	2.38079376
13.66	0.132706121	2.378234852
13.68	0.201141792	2.374896373
13.7	0.230301338	2.370581942
13.72	0.220184761	2.366077081
13.74	0.210663276	2.361768601
