Tiempo(s),Fuerza(N)
76.3,25.82577851
76.4,26.25707254
76.5,26.04142552
76.6,25.82577851
76.7,25.61013149
76.8,26.04142552
76.9,26.04142552
77,26.04142552
77.1,26.04142552
77.2,26.04142552
77.3,26.25707254
77.4,26.47271956
77.5,26.47271956
77.6,26.68836657
77.7,26.68836657
77.8,26.47271956
77.9,26.47271956
78,26.04142552
78.1,25.82577851
78.2,26.04142552
78.3,26.04142552
78.4,25.82577851
78.5,25.61013149
78.6,25.61013149
78.7,25.39448448
78.8,24.74754343
78.9,24.96319045
79,25.17883746
79.1,25.39448448
79.2,25.61013149
79.3,25.82577851
79.4,26.04142552
79.5,26.04142552
79.6,26.25707254
79.7,26.04142552
79.8,26.04142552
79.9,26.04142552
80,26.04142552
80.1,26.04142552
80.2,25.82577851
80.3,25.82577851
80.4,25.61013149
80.5,26.25707254
80.6,26.47271956
80.7,26.47271956
80.8,26.68836657
80.9,26.47271956
81,26.25707254
81.1,26.47271956
81.2,26.25707254
81.3,26.04142552
81.4,26.04142552
81.5,26.47271956
81.6,26.25707254
81.7,26.25707254
81.8,26.47271956
81.9,25.82577851
82,25.61013149
82.1,26.04142552
82.2,25.82577851
82.3,24.96319045
82.4,24.96319045
82.5,25.39448448
82.6,25.61013149
82.7,25.61013149
82.8,25.82577851
82.9,25.82577851
83,25.82577851
83.1,25.61013149
83.2,25.82577851
83.3,26.04142552
83.4,26.25707254
83.5,25.82577851
83.6,25.61013149
83.7,25.61013149
83.8,25.61013149
83.9,25.39448448
84,25.61013149
84.1,26.04142552
84.2,26.04142552
84.3,25.82577851
84.4,25.82577851
84.5,25.82577851
84.6,26.04142552
84.7,26.25707254
84.8,26.25707254
84.9,26.25707254
85,26.04142552
85.1,25.82577851
85.2,25.82577851
85.3,25.82577851
85.4,26.04142552
85.5,26.04142552
85.6,26.04142552
85.7,26.04142552
85.8,26.04142552
85.9,25.82577851
86,25.82577851
86.1,25.61013149
86.2,25.61013149
86.3,25.39448448
86.4,25.17883746
86.5,25.61013149
86.6,25.61013149
86.7,24.74754343
86.8,24.53189641
86.9,24.53189641
87,24.53189641
87.1,24.3162494
87.2,24.96319045
87.3,24.74754343
87.4,24.74754343
87.5,25.17883746
87.6,25.61013149
87.7,25.39448448
87.8,25.39448448
87.9,25.39448448
88,25.61013149
88.1,25.61013149
88.2,25.61013149
88.3,25.39448448
88.4,25.39448448
88.5,25.61013149
88.6,25.39448448
88.7,25.61013149
88.8,25.61013149
88.9,25.61013149
89,25.39448448
89.1,25.61013149
89.2,25.61013149
89.3,25.61013149
89.4,25.61013149
89.5,25.61013149
89.6,25.39448448
89.7,25.17883746
89.8,25.61013149
89.9,25.61013149
90,24.74754343
90.1,25.17883746
90.2,25.39448448
90.3,25.17883746
90.4,25.39448448
90.5,25.39448448
90.6,25.61013149
90.7,25.39448448
90.8,25.39448448
90.9,25.39448448
91,25.17883746
91.1,25.17883746
91.2,24.96319045
91.3,25.17883746
91.4,24.96319045
91.5,24.96319045
91.6,24.74754343
91.7,24.96319045
91.8,24.74754343
91.9,24.96319045
92,24.74754343
92.1,24.74754343
92.2,24.53189641
92.3,24.74754343
92.4,24.74754343
92.5,24.74754343
92.6,24.74754343
92.7,24.74754343
92.8,24.74754343
92.9,24.96319045
93,25.17883746
93.1,25.17883746
93.2,25.17883746
93.3,25.39448448
93.4,24.96319045
93.5,25.39448448
93.6,25.17883746
93.7,25.17883746
93.8,24.96319045
93.9,25.17883746
94,24.96319045
94.1,24.74754343
94.2,24.3162494
94.3,24.3162494
94.4,24.3162494
